epoch,loss
0,25.464786867201912
1,35.574177598787564
2,35.46058355343524
3,32.89254877808751
4,33.26566880271631
5,36.759400239727086
6,34.21625173984996
7,29.514258001926674
8,30.80757015525199
9,30.75866925259405
10,28.858343530904715
11,25.43281757004122
12,24.67145260119522
13,20.55284052608353
14,19.2140255198743
15,20.483602739257478
16,22.387853478056897
17,22.56146343558448
18,22.463989941903222
19,23.853892301103546
20,24.564968467788084
21,23.241134246235188
22,26.18827049382271
23,26.709431942412316
24,26.11437478106202
25,27.636882474497238
26,24.913984475064147
27,25.750764700413562
28,23.66397370959331
29,20.49635736805063
30,23.345099224775524
31,21.730450188247254
32,26.783450484291276
33,22.991890949326127
34,23.66412821828263
35,26.516450039326177
36,26.212417694002664
37,23.027316453999465
